Year,MAPE,algo,cov,algocov,day,resolution
2019,0.11932084018574106,TFT,SARI+AGE,TFT_SARI+AGE,2,D
2019,0.13863819941897895,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,2,D
2019,0.07741074610133715,DeepAR,SARI,DeepAR_SARI,2,D
2019,0.07698251128583826,DeepAR,SARI+LC,DeepAR_SARI+LC,2,D
2019,0.0711507936056464,DeepAR,SARI+AGE,DeepAR_SARI+AGE,2,D
2019,0.07612056107486863,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,2,D
2019,0.06811224301508904,Chronos,SARI,Chronos_SARI,2,D
2019,0.11542198038162511,AutoML,SARI,AutoML_SARI,2,D
2014,0.1371795171846928,TFT,SARI,TFT_SARI,3,D
2014,0.21441176145403537,TFT,SARI+LC,TFT_SARI+LC,3,D
2014,0.15442606025573233,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2014,0.20555941360574148,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2014,0.1344616039600607,DeepAR,SARI,DeepAR_SARI,3,D
2014,0.15564447229438488,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2014,0.14050620067618044,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2014,0.1631582394034834,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2014,0.08675917650694077,Chronos,SARI,Chronos_SARI,3,D
2014,0.14133807445284235,AutoML,SARI,AutoML_SARI,3,D
2015,0.10803543280371487,TFT,SARI,TFT_SARI,3,D
2015,0.20845724151424327,TFT,SARI+LC,TFT_SARI+LC,3,D
2015,0.13257132980678873,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2015,0.21152554869586027,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2015,0.15345285659671945,DeepAR,SARI,DeepAR_SARI,3,D
2015,0.15349026606292637,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2015,0.15048341666172674,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2015,0.13061370359332639,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2015,0.09165544141622166,Chronos,SARI,Chronos_SARI,3,D
2015,0.13661469505875673,AutoML,SARI,AutoML_SARI,3,D
2016,0.13810115245916788,TFT,SARI,TFT_SARI,3,D
2016,0.17097561494926256,TFT,SARI+LC,TFT_SARI+LC,3,D
2016,0.152919556028706,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2016,0.16105438897697763,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2016,0.14454494169798537,DeepAR,SARI,DeepAR_SARI,3,D
2016,0.11686357828889249,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2016,0.09057294215299183,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2016,0.10704333598757947,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2016,0.11625264244004811,Chronos,SARI,Chronos_SARI,3,D
2016,0.14387049354096434,AutoML,SARI,AutoML_SARI,3,D
2017,0.10584007561249409,TFT,SARI,TFT_SARI,3,D
2017,0.12923434519047847,TFT,SARI+LC,TFT_SARI+LC,3,D
2017,0.11824270912421032,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2017,0.16063564592572746,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2017,0.11138437208395605,DeepAR,SARI,DeepAR_SARI,3,D
2017,0.11006366024687428,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2017,0.10473793312824313,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2017,0.11057468339581478,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2017,0.0951523670243705,Chronos,SARI,Chronos_SARI,3,D
2017,0.13737939682685318,AutoML,SARI,AutoML_SARI,3,D
2018,0.10971630605173636,TFT,SARI,TFT_SARI,3,D
2018,0.13755186121993884,TFT,SARI+LC,TFT_SARI+LC,3,D
2018,0.12120051847504607,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2018,0.12323045136907532,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2018,0.10572668822557502,DeepAR,SARI,DeepAR_SARI,3,D
2018,0.10907877775503319,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2018,0.10084418819762825,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2018,0.10455162536356731,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2018,0.10544635826217803,Chronos,SARI,Chronos_SARI,3,D
2018,0.10531427042078136,AutoML,SARI,AutoML_SARI,3,D
2019,0.10520505046930366,TFT,SARI,TFT_SARI,3,D
2019,0.1507663979122468,TFT,SARI+LC,TFT_SARI+LC,3,D
2019,0.12178648212512182,TFT,SARI+AGE,TFT_SARI+AGE,3,D
2019,0.13982016438972672,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,3,D
2019,0.09331580186954427,DeepAR,SARI,DeepAR_SARI,3,D
2019,0.09337368782527718,DeepAR,SARI+LC,DeepAR_SARI+LC,3,D
2019,0.09204021557268277,DeepAR,SARI+AGE,DeepAR_SARI+AGE,3,D
2019,0.09642208536724348,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,3,D
2019,0.08717264598631462,Chronos,SARI,Chronos_SARI,3,D
2019,0.1276251940584051,AutoML,SARI,AutoML_SARI,3,D
2014,0.13948867759030284,TFT,SARI,TFT_SARI,4,W
2014,0.14939387272615867,TFT,SARI,TFT_SARI,4,D
2014,0.2239683482708883,TFT,SARI+LC,TFT_SARI+LC,4,D
2014,0.15935718157662127,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2014,0.21916587792392217,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2014,0.15725226287003233,DeepAR,SARI,DeepAR_SARI,4,D
2014,0.17840549001403663,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2014,0.16008109700206677,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2014,0.16451669276173764,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2014,0.09823003573855237,Chronos,SARI,Chronos_SARI,4,D
2014,0.1497575305130287,AutoML,SARI,AutoML_SARI,4,D
2015,0.09817602847374461,TFT,SARI,TFT_SARI,4,W
2015,0.12090660898118188,TFT,SARI,TFT_SARI,4,D
